Index,Brand,Model,Motor,Year,Mileage,Gear,Fuel,Price
1,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2021,15893,Automatique,Essence,32460
2,PEUGEOT,2008 II,1.2 PURETECH 100 ALLURE,2021,24636,Manuelle,Essence,26430
3,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,24354,Manuelle,Essence,20040
4,PEUGEOT,308 II phase 2,1.2 PURETECH 130 STYLE,2020,69952,Automatique,Essence,18710
5,PEUGEOT,3008 II,1.2 PURETECH 130 ACTIVE BUSINESS,2020,59724,Automatique,Essence,29500
6,PEUGEOT,308 II GTI phase 2,1.6 PURETECH 262 GTI BY PEUGEOT SPORT,2021,18805,Manuelle,Essence,37690
7,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2021,15893,Automatique,Essence,32460
8,PEUGEOT,2008 II,1.2 PURETECH 100 ACTIVE BUSINESS,2023,32292,Manuelle,Essence,24180
9,PEUGEOT,2008 II,1.2 PURETECH 100 ALLURE,2023,26686,Manuelle,Essence,28860
10,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,55868,Manuelle,Essence,20700
11,PEUGEOT,508 II SW,1.6 PURETECH 225 GT,2021,46964,Automatique,Essence,41180
12,PEUGEOT,208 II,1.2 PURETECH 100 GT,2022,16965,Manuelle,Essence,26380
13,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,35043,Manuelle,Essence,19860
14,PEUGEOT,3008 (2E GENERATION),ALLURE 1.2 PURETECH S&S 130CH AUTOMATIQUE,2020,97031,Automatique,Essence,28870
15,PEUGEOT,208 II,1.2 PURETECH 100 GT LINE,2021,27214,Manuelle,Essence,24060
16,PEUGEOT,208 II,1.2 PURETECH 75 STYLE,2023,25796,Manuelle,Essence,21430
17,PEUGEOT,208 II,1.2 PURETECH 100 STYLE,2023,22903,Manuelle,Essence,24160
18,PEUGEOT,208 II,1.2 PURETECH 130 GT LINE,2020,68669,Automatique,Essence,26120
19,PEUGEOT,308 II phase 2,1.2 PURETECH 110 ALLURE PACK,2022,67473,Manuelle,Essence,23190
20,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2020,35034,Automatique,Essence,22330
21,PEUGEOT,308 (2E GENERATION),BVM6 PURETECH 130CH S&S ALLURE PACK,2022,46429,Manuelle,Essence,23080
22,PEUGEOT,2008 II,1.2 PURETECH 130 GT LINE,2021,42479,Automatique,Essence,31900
23,PEUGEOT,308 II SW phase 2,1.2 PURETECH 110 STYLE,2021,24012,Manuelle,Essence,22600
24,PEUGEOT,308 III,1.2 PURETECH 130 GT PACK,2023,22316,Automatique,Essence,33250
25,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE BUSINESS,2021,70308,Manuelle,Essence,19420
26,PEUGEOT,2008 II,1.2 PURETECH 100 ALLURE,2023,16918,Manuelle,Essence,26810
27,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE PACK,2022,55180,Automatique,Essence,25620
28,PEUGEOT,208 II,1.2 PURETECH 100 STYLE,2023,23309,Manuelle,Essence,22780
29,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE,2022,39902,Automatique,Essence,25410
30,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,48705,Manuelle,Essence,20660
31,PEUGEOT,208 II,1.2 PURETECH 100 STYLE,2023,23317,Manuelle,Essence,23380
32,PEUGEOT,308 II phase 2,1.2 PURETECH 110 ALLURE PACK,2022,47880,Manuelle,Essence,20460
33,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE BUSINESS,2021,27308,Automatique,Essence,20670
34,PEUGEOT,2008 II,1.2 PURETECH 130 GT LINE,2021,46870,Automatique,Essence,28870
35,PEUGEOT,3008 II,1.2 PURETECH 130 ACTIVE BUSINESS,2020,31210,Automatique,Essence,32670
36,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,23506,Manuelle,Essence,21580
37,PEUGEOT,3008 II phase 2,1.2 PURETECH 130 ALLURE PACK,2022,39376,Manuelle,Essence,34490
38,PEUGEOT,208 II,1.2 PURETECH 100 GT LINE,2020,48169,Manuelle,Essence,24140
39,PEUGEOT,208 II,1.2 PURETECH 100 STYLE,2022,18111,Automatique,Essence,25390
40,PEUGEOT,2008 II,II 1.2 PURETECH 130 S&S ALLURE,2021,16065,Manuelle,Essence,30920
41,PEUGEOT,208 II,1.2 PURETECH 100 GT LINE,2020,38215,Automatique,Essence,25720
42,PEUGEOT,3008 II phase 2,1.2 PURETECH 130 ALLURE,2023,13149,Manuelle,Essence,39320
43,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,51246,Manuelle,Essence,21750
44,PEUGEOT,208 II,1.2 PURETECH 75 STYLE,2023,18602,Manuelle,Essence,21630
45,PEUGEOT,208 II,1.2 PURETECH 130 GT PACK,2022,15255,Automatique,Essence,29880
46,PEUGEOT,3008 (2E GENERATION),ALLURE 1.2 PURETECH S&S 130CH MANUELLE,2020,29211,Manuelle,Essence,27260
47,PEUGEOT,208 II,1.2 PURETECH 100 GT,2023,14327,Manuelle,Essence,25600
48,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE PACK,2023,19778,Manuelle,Essence,19170
49,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2023,16508,Automatique,Essence,24060
50,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2023,11538,Manuelle,Essence,24060
51,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,73185,Manuelle,Essence,17940
52,PEUGEOT,RIFTER,1.2 PURETECH 110 ACTIVE,2020,41306,Manuelle,Essence,24590
53,PEUGEOT,2008 II,1.2 PURETECH 100 ALLURE,2021,39439,Manuelle,Essence,24740
54,PEUGEOT,208 phase 2,1.2 PURETECH 82 ALLURE,2020,100438,Manuelle,Essence,14860
55,PEUGEOT,208 II,1.2 PURETECH 100 ACTIVE,2021,23354,Manuelle,Essence,19060
56,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2020,77595,Manuelle,Essence,25280
57,PEUGEOT,2008 (2E GENERATION),ACTIVE 1.2 PURETECH S&S 130CH MANUELLE,2021,28307,Manuelle,Essence,25040
58,PEUGEOT,2008 II,1.2 PURETECH 130 ACTIVE BUSINESS,2021,29541,Automatique,Essence,28540
59,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE BUSINESS,2021,62534,Automatique,Essence,21350
60,PEUGEOT,308 (2E GENERATION),ACTIVE 1.2 PURETECH 110CH MANUELLE,2021,48048,Manuelle,Essence,19040
61,PEUGEOT,108,1.0 VTI 72 ALLURE,2021,14933,Manuelle,Essence,15960
62,PEUGEOT,208 II,1.2 PURETECH 100 ACTIVE,2021,39341,Manuelle,Essence,21220
63,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,17129,Manuelle,Essence,17590
64,PEUGEOT,208 phase 2,1.2 PURETECH 68 LIKE,2020,30824,Manuelle,Essence,12640
65,PEUGEOT,2008 II,1.2 PURETECH 130 GT,2022,28560,Automatique,Essence,30780
66,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2021,44640,Manuelle,Essence,21580
67,PEUGEOT,308 II phase 2,1.2 PURETECH 130 GT LINE,2020,73962,Manuelle,Essence,21270
68,PEUGEOT,208 II,1.2 PURETECH 100 GT PACK,2022,11730,Manuelle,Essence,25270
69,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2021,15893,Automatique,Essence,32460
70,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2021,44124,Automatique,Essence,21510
71,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,13923,Manuelle,Essence,16410
72,PEUGEOT,508 II,1.6 PURETECH 180 ACTIVE,2022,18289,Automatique,Essence,34770
73,PEUGEOT,308 II phase 2,1.2 PURETECH 130 GT,2021,20492,Manuelle,Essence,24960
74,PEUGEOT,208 II,1.2 PURETECH 100 ACTIVE,2021,22831,Manuelle,Essence,21580
75,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,21191,Manuelle,Essence,16330
76,PEUGEOT,308 II phase 2,1.2 PURETECH 130 GT LINE,2020,42285,Manuelle,Essence,23590
77,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2020,78240,Manuelle,Essence,28770
78,PEUGEOT,2008 II,1.2 PURETECH 100 ACTIVE PACK,2022,40625,Manuelle,Essence,25610
79,PEUGEOT,2008 II,1.2 PURETECH 130 ALLURE PACK,2022,13482,Automatique,Essence,33170
80,PEUGEOT,208 phase 2,1.2 PURETECH 82 ACTIVE BUSINESS,2020,35980,Manuelle,Essence,14700
81,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE BUSINESS,2021,58249,Manuelle,Essence,23060
82,PEUGEOT,208 II,1.2 PURETECH 100 GT LINE,2020,25571,Automatique,Essence,25970
83,PEUGEOT,2008 II,1.2 PURETECH 130 GT LINE,2021,32289,Automatique,Essence,36880
84,PEUGEOT,308 (3E GENERATION) SW,SW 1.2 PURETECH 130 GT EAT8,2023,20004,Automatique,Essence,33690
85,PEUGEOT,2008 II,1.2 PURETECH 130 ALLURE,2023,16335,Automatique,Essence,31860
86,PEUGEOT,208 II,1.2 PURETECH 130 GT LINE,2020,68669,Automatique,Essence,26120
87,PEUGEOT,3008 II,1.6 PURETECH 180 GT LINE,2020,64323,Automatique,Essence,32070
88,PEUGEOT,3008 II,1.6 PURETECH 180 GT LINE,2020,45154,Automatique,Essence,33880
89,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE,2021,38278,Manuelle,Essence,20860
90,PEUGEOT,308 III,1.2 PURETECH 130 GT PACK,2023,16889,Automatique,Essence,41540
91,PEUGEOT,2008 II,1.2 PURETECH 100 ACTIVE,2021,38468,Manuelle,Essence,24760
